Symbol,Name,LastSale,MarketCap,ADR TSO,Country,IPOyear,Sector,Industry,Summary Quote
AXAS,Abraxas Petroleum Corporation,2.39,398444923.2,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas
AE,"Adams Resources & Energy, Inc.",41.05,173132315.8,n/a,United States,n/a,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/ae
ALE,"Allete, Inc.",74.35,3818661800,n/a,United States,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/ale
ARLP,"Alliance Resource Partners, L.P.",20.25,2660234279,n/a,United States,1999,Energy,Coal Mining,https://www.nasdaq.com/symbol/arlp
LNT,Alliant Energy Corporation,42.24,9874567634,n/a,United States,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/lnt
AMR,"Alta Mesa Resources, Inc.",4.15,1593519411,n/a,United States,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/amr
AMRWW,"Alta Mesa Resources, Inc.",0.48,0,n/a,United States,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/amrww
AEE,Ameren Corporation,63.02,15379399540,n/a,United States,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/aee
AEP,"American Electric Power Company, Inc.",69.81,34411726589,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aep
AMID,"American Midstream Partners, LP",5.8,307290206,n/a,United States,2011,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/amid
APC,Anadarko Petroleum Corporation,66.82,34216855710,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/apc
ANDV,Andeavor,157.29,23770606495,n/a,United States,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/andv
ANDX,Andeavor Logistics LP,49.02,12033073862,n/a,United States,2011,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/andx
AMGP,Antero Midstream GP LP,17.17,3197214866,n/a,United States,2017,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/amgp
AM,Antero Midstream Partners LP,29.2,5461728571,n/a,United States,2014,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/am
APA,Apache Corporation,47.78,18275178834,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/apa
AREX,Approach Resources Inc.,2.21,208815936.3,n/a,United States,2007,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/arex
ARCH,"Arch Coal, Inc.",94.52,1851433941,n/a,United States,2016,Energy,Coal Mining,https://www.nasdaq.com/symbol/arch
AROC,"Archrock, Inc.",12.15,1572387949,n/a,United States,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/aroc
AT,Atlantic Power Corporation,2.15,240083923.2,n/a,United States,n/a,Energy,Electric Utilities: Central,https://www.nasdaq.com/symbol/at
ATO,Atmos Energy Corporation,93.5,10397259092,n/a,United States,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/ato
AGR,"Avangrid, Inc.",47.55,14693200684,n/a,United States,2015,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/agr
AVA,Avista Corporation,50.59,3323155920,n/a,United States,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/ava
BRN,"Barnwell Industries, Inc.",1.8624,15415382.78,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/brn
BAS,"Basic Energy Services, Inc.",10.45,276619337.5,n/a,United States,2005,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/bas
BTE,Baytex Energy Corp,2.94,1627449807,n/a,Canada,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/bte
BXE,Bellatrix Exploration Ltd,0.938,57933669.61,n/a,Canada,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/bxe
BRY,Berry Petroleum Corporation,16.9803,1381122620,n/a,United States,2018,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/bry
BKH,Black Hills Corporation,57.52,3082777268,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/bkh
BKHU,Black Hills Corporation,62.11,0,n/a,United States,2015,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/bkhu
BSM,"Black Stone Minerals, L.P.",18.4,3723488234,n/a,United States,2015,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/bsm
BKEP,"Blueknight Energy Partners L.P., L.L.C.",2.3,92890113.8,n/a,United States,2011,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/bkep
BKEPP,"Blueknight Energy Partners L.P., L.L.C.",6.28,189396127.3,n/a,United States,n/a,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/bkepp
BCEI,"Bonanza Creek Energy, Inc.",29.27,601237118.9,n/a,United States,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/bcei
BPMP,BP Midstream Partners LP,18.29,1915897070,n/a,United States,2017,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/bpmp
BPT,BP Prudhoe Bay Royalty Trust,34.05,728670000,n/a,United States,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/bpt
BCO,Brink&#39;s Company (The),71.1,3622674047,n/a,United States,n/a,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/bco
BPL,Buckeye Partners L.P.,35.46,5439004228,n/a,United States,1986,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/bpl
CHRW,"C.H. Robinson Worldwide, Inc.",96.19,13326595359,n/a,United States,1997,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/chrw
COG,Cabot Oil & Gas Corporation,23.24,10252962404,n/a,United States,1990,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/cog
CPE,Callon Petroleum Company,12.1,2753572026,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/cpe
CPE^A,Callon Petroleum Company,51.03,0,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/cpe^a
CLMT,"Calumet Specialty Products Partners, L.P.",6.425,495362886.9,n/a,United States,2006,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/clmt
CEI,"Camber Energy, Inc.",0.45,18021114.9,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/cei
CNQ,Canadian Natural Resources Limited,32.74,39891989550,n/a,Canada,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/cnq
CRZO,"Carrizo Oil & Gas, Inc.",25.99,2134155647,n/a,United States,1997,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/crzo
CVE,Cenovus Energy Inc,9.37,11512905573,n/a,Canada,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/cve
CDEV,"Centennial Resource Development, Inc.",21.59,5960764187,n/a,United States,2016,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/cdev
CNP,"CenterPoint Energy, Inc.",27.65,11932459556,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/cnp
CQP,"Cheniere Energy Partners, LP",39.84,19282744180,n/a,United States,2007,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/cqp
LNG,"Cheniere Energy, Inc.",68.56,17624798592,n/a,United States,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/lng
CHK,Chesapeake Energy Corporation,4.62,4214705959,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/chk
CHKR,Chesapeake Granite Wash Trust,1.65,77137500,n/a,United States,2011,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/chkr
CPK,Chesapeake Utilities Corporation,84.1,1377435635,n/a,United States,n/a,Public Utilities,Oil & Gas Production,https://www.nasdaq.com/symbol/cpk
CVX,Chevron Corporation,123.37,2.36395E+11,n/a,United States,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/cvx
XEC,Cimarex Energy Co,94.54,9014963236,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/xec
CKX,"CKX Lands, Inc.",10.45,20299072.75,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ckx
CLNE,Clean Energy Fuels Corp.,2.69,547318111.6,n/a,United States,2007,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/clne
CWEN,"Clearway Energy, Inc.",19.2,3632513146,n/a,United States,2015,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/cwen
CLD,Cloud Peak Energy Inc,2.54,192476269.9,n/a,United States,2009,Energy,Coal Mining,https://www.nasdaq.com/symbol/cld
CMS,CMS Energy Corporation,48.36,13698716050,n/a,United States,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/cms
CMS^B,CMS Energy Corporation,101.97,0,n/a,United States,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/cms^b
CMSA,CMS Energy Corporation,24.15,0,n/a,United States,2018,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/cmsa
CNXM,CNX Midstream Partners LP,19.3,1228216585,n/a,United States,2014,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/cnxm
CEIX,CNX Resources Corporation,42.27,1183698857,n/a,United States,2017,Energy,Coal Mining,https://www.nasdaq.com/symbol/ceix
CNX,CNX Resources Corporation,14.36,3059529667,n/a,United States,1999,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/cnx
CRK,"Comstock Resources, Inc.",9.05,948893567.9,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/crk
CXO,Concho Resources Inc.,150.95,30229778948,n/a,United States,2007,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/cxo
COP,ConocoPhillips,78.11,90771264508,n/a,United States,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/cop
CCR,CONSOL Coal Resources LP,17.85,491238961.5,n/a,United States,2015,Energy,Coal Mining,https://www.nasdaq.com/symbol/ccr
ED,Consolidated Edison Inc,75.7,23550496267,n/a,United States,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/ed
MCF,Contango Oil & Gas Company,6.43,165399758.1,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mcf
CLR,"Continental Resources, Inc.",67.03,25205793491,n/a,United States,2007,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/clr
CVA,Covanta Holding Corporation,16.7,2184700680,n/a,United States,n/a,Basic Industries,Electric Utilities: Central,https://www.nasdaq.com/symbol/cva
CPG,Crescent Point Energy Corporation,6.3,3460477381,n/a,Canada,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/cpg
CRT,Cross Timbers Royalty Trust,14.93,89580000,n/a,United States,1992,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/crt
CAPL,CrossAmerica Partners LP,17.91,616705310.3,n/a,United States,2012,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/capl
CYRX,"CryoPort, Inc.",12.51,357406596.7,n/a,United States,n/a,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/cyrx
CYRXW,"CryoPort, Inc.",9.2118,0,n/a,United States,n/a,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/cyrxw
CCLP,CSI Compressco LP,5.32,230186451.6,n/a,United States,2011,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/cclp
CVI,CVR Energy Inc.,40.85,3547048393,n/a,United States,2007,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/cvi
CVRR,"CVR Refining, LP",20.15,2974140000,n/a,United States,2013,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/cvrr
DWSN,Dawson Geophysical Company,6.48,148529369.5,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/dwsn
DCP,DCP Midstream LP,39.13,5607713570,n/a,United States,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/dcp
DKL,"Delek Logistics Partners, L.P.",34.1,831875740.3,n/a,United States,2012,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/dkl
DK,"Delek US Holdings, Inc.",44.46,3851948599,n/a,United States,2017,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/dk
DNR,Denbury Resources Inc.,6.21,2860557770,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/dnr
DVN,Devon Energy Corporation,41.41,21069408000,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/dvn
DO,"Diamond Offshore Drilling, Inc.",19.99,2747314815,n/a,United States,1995,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/do
FANG,"Diamondback Energy, Inc.",134.52,13266556109,n/a,United States,2012,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/fang
DM,"Dominion Energy Midstream Partners, LP",17.75,2247285628,n/a,United States,2014,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/dm
D,"Dominion Energy, Inc.",69.55,45469402418,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/d
DCUD,"Dominion Energy, Inc.",47.08,0,n/a,United States,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/dcud
DRUA,"Dominion Energy, Inc.",23.53,0,n/a,United States,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/drua
DMLP,"Dorchester Minerals, L.P.",20.4,658507389.6,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/dmlp
DTE,DTE Energy Company,107.49,19538733979,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/dte
DTJ,DTE Energy Company,23.93,0,n/a,United States,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/dtj
DTQ,DTE Energy Company,24.1801,0,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/dtq
DTV,DTE Energy Company,51.85,0,n/a,United States,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/dtv
DTW,DTE Energy Company,23.7,0,n/a,United States,2017,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/dtw
DTY,DTE Energy Company,25.65,0,n/a,United States,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/dty
DUK,Duke Energy Corporation,78.81,56140675798,n/a,United States,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/duk
DUKB,Duke Energy Corporation,24.84,0,n/a,United States,2018,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/dukb
DUKH,Duke Energy Corporation,23.85,0,n/a,United States,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/dukh
ESTE,"Earthstone Energy, Inc.",9.62,615472131,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/este
ECT,ECA Marcellus Trust I,1.8,31689000,n/a,United States,2010,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ect
ECHO,"Echo Global Logistics, Inc.",32.95,940659466.7,n/a,United States,2009,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/echo
ECR,Eclipse Resources Corporation,1.29,390007051.9,n/a,United States,2014,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ecr
ESES,"Eco-Stim Energy Solutions, Inc.",0.35,26205716.95,n/a,United States,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/eses
EIX,Edison International,66.97,21819576466,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/eix
EP^C,El Paso Corporation,45.948,0,n/a,United States,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/ep^c
EE,El Paso Electric Company,57.8,2351958296,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ee
EEQ,Enbridge Energy Management LLC,11.2,1104444230,n/a,United States,2002,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/eeq
EEP,"Enbridge Energy, L.P.",11.18,5042958989,n/a,United States,n/a,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/eep
ENB,Enbridge Inc,33.13,56834660772,n/a,Canada,n/a,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/enb
ENBA,Enbridge Inc,25.4,0,n/a,Canada,2018,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/enba
ECA,Encana Corporation,13.27,12666590514,n/a,Canada,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/eca
EGN,Energen Corporation,85.68,8358913811,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/egn
ETE,"Energy Transfer Equity, L.P.",17.48,20245451788,n/a,United States,2006,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/ete
ETP,"Energy Transfer Partners, L.P.",22.3,26010802176,n/a,United States,n/a,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/etp
EGC,"Energy XXI Gulf Coast, Inc.",7.82,261161122.7,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/egc
ERF,Enerplus Corporation,12.3,3017117984,n/a,Canada,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/erf
ENLK,"EnLink Midstream Partners, LP",18.25,6393815175,n/a,United States,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/enlk
ENSV,ENSERVCO Corporation,0.72,39214676.88,n/a,United States,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/ensv
