Symbol,Name,LastSale,MarketCap,ADR TSO,Country,IPOyear,Sector,Industry,Summary Quote
OKE,"ONEOK, Inc.",68.43,28141801506,n/a,United States,n/a,Public Utilities,Oil & Gas Production,https://www.nasdaq.com/symbol/oke
ORA,"Ormat Technologies, Inc.",54.34,2751241699,n/a,United States,2004,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ora
OTTR,Otter Tail Corporation,47.65,1890031675,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ottr
ROYT,Pacific Coast Oil Trust,2.77,106875347.7,n/a,United States,2012,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/royt
PCG,Pacific Gas & Electric Co.,45.84,23706217288,n/a,United States,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/pcg
PHX,Panhandle Royalty Company,19.4,325503074.6,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/phx
PARR,"Par Pacific Holdings, Inc.",20.32,932299603.5,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/parr
PKD,Parker Drilling Company,3.43,31959896.22,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pkd
PEGI,Pattern Energy Group Inc.,19.79,1944855700,n/a,United States,2013,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/pegi
PTEN,"Patterson-UTI Energy, Inc.",17.7,3894459687,n/a,United States,1993,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pten
PBF,PBF Energy Inc.,50.37,5733679962,n/a,United States,2012,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/pbf
PDCE,"PDC Energy, Inc.",48.54,3207194633,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pdce
BTU,Peabody Energy Corporation,42.35,5153995000,n/a,United States,2017,Energy,Coal Mining,https://www.nasdaq.com/symbol/btu
PED,Pedevco Corp.,2.17,32174848.23,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ped
PBA,Pembina Pipeline Corp.,34.36,17378875817,n/a,Canada,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pba
PVAC,Penn Virginia Corporation,75.91,1143089217,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pvac
PBT,Permian Basin Royalty Trust,8.36,389649534.6,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pbt
PVL,Permianville Royalty Trust,3.575,117975000,n/a,United States,2011,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pvl
PRT,PermRock Royalty Trust,12.91,157059600.1,n/a,United States,2018,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/prt
PSX,Phillips 66,114.88,53334465661,n/a,United States,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/psx
PSXP,Phillips 66 Partners LP,50.7,6231683675,n/a,United States,2013,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/psxp
PNW,Pinnacle West Capital Corporation,78.18,8754138187,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/pnw
PES,Pioneer Energy Services Corp.,3.4,265929470,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pes
PXD,Pioneer Natural Resources Company,177.38,30225769113,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pxd
PAA,"Plains All American Pipeline, L.P.",24.2,17559102284,n/a,United States,1998,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/paa
PNM,"PNM Resources, Inc. (Holding Co.)",38.7,3082595249,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/pnm
POR,Portland General Electric Company,44.6,3980034647,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/por
PPL,PPL Corporation,28.75,20112656475,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ppl
PDS,Precision Drilling Corporation,3.63,1066188485,n/a,Canada,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pds
PNRG,PrimeEnergy Corporation,78.2,161245506.6,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pnrg
PUMP,ProPetro Holding Corp.,17.23,1439457021,n/a,United States,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/pump
PEG,Public Service Enterprise Group Incorporated,51.21,25877607524,n/a,United States,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/peg
QEP,"QEP Resources, Inc.",11.37,2694416631,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/qep
RLGT,"Radiant Logistics, Inc.",5.49,271465171.9,n/a,United States,n/a,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/rlgt
METC,"Ramaco Resources, Inc.",7.81,313044067.3,n/a,United States,2017,Energy,Coal Mining,https://www.nasdaq.com/symbol/metc
RRC,Range Resources Corporation,17.36,4330530901,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/rrc
RNGR,"Ranger Energy Services, Inc.",8.46,133438192.6,n/a,United States,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/rngr
REN           ,Resolute Energy Corporation,37.73,874071705.4,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ren
RGCO,RGC Resources Inc.,26.63,212689975.3,n/a,United States,n/a,Public Utilities,Oil & Gas Production,https://www.nasdaq.com/symbol/rgco
REI,"Ring Energy, Inc.",10.48,632866543.9,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/rei
RRTS,"Roadrunner Transportation Systems, Inc",0.9747,37533258.3,n/a,United States,2010,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/rrts
ROSE,Rosehill Resources Inc.,7.25,263537935,n/a,United States,2016,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/rose
ROSEU,Rosehill Resources Inc.,9.5,0,n/a,United States,2016,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/roseu
ROSEW,Rosehill Resources Inc.,1.2,0,n/a,United States,2016,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/rosew
RDC,Rowan Companies plc,18.47,2346687084,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/rdc
RES,"RPC, Inc.",16.02,3441520738,n/a,United States,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/res
SBR,Sabine Royalty Trust,41.45,604313850.3,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/sbr
SAEX,"SAExploration Holdings, Inc.",13.67,1195345.81,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/saex
SJT,San Juan Basin Royalty Trust,5.09,237238771.6,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/sjt
SN,Sanchez Energy Corporation,2.61,228211979.4,n/a,United States,2011,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/sn
SNMP,Sanchez Midstream Partners LP,7.025,112208976.2,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/snmp
SDT,SandRidge Mississippian Trust I,1.35,37800000,n/a,United States,2011,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/sdt
PER,SandRidge Permian Trust,2.6,136500000,n/a,United States,2011,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/per
SCG,Scana Corporation,35.25,5027545914,n/a,United States,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/scg
WTTR,"Select Energy Services, Inc.",12.18,1299461557,n/a,United States,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/wttr
SEMG,Semgroup Corporation,21.5,1699330309,n/a,United States,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/semg
SRE,Sempra Energy,112.47,30755871534,n/a,United States,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/sre
SRE^A,Sempra Energy,101.22,0,n/a,United States,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/sre^a
SHLX,"Shell Midstream Partners, L.P.",21.59,4832096352,n/a,United States,2014,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/shlx
SINO,"Sino-Global Shipping America, Ltd.",1.1913,14814452.85,n/a,United States,n/a,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/sino
SM,SM Energy Company,31.62,3545790343,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/sm
SJI,"South Jersey Industries, Inc.",35.11,3002123279,n/a,United States,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/sji
SJIU,"South Jersey Industries, Inc.",56.94,0,n/a,United States,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/sjiu
SXE,"Southcross Energy Partners, L.P.",0.6296,50262735.29,n/a,United States,2012,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/sxe
SO,Southern Company (The),42.73,43334034827,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/so
SOJA,Southern Company (The),25.86,0,n/a,United States,2015,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/soja
SOJB,Southern Company (The),23.8,0,n/a,United States,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/sojb
SOJC,Southern Company (The),23.48,0,n/a,United States,2017,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/sojc
SWX,"Southwest Gas Holdings, Inc.",78.04,3834404015,n/a,United States,n/a,Public Utilities,Oil & Gas Production,https://www.nasdaq.com/symbol/swx
SWN,Southwestern Energy Company,5.74,3365376189,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/swn
SPKE,"Spark Energy, Inc.",7.95,277286762.1,n/a,United States,2014,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/spke
SPKEP,"Spark Energy, Inc.",24.4,0,n/a,United States,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/spkep
SEP,"Spectra Energy Partners, LP",36.62,17756923416,n/a,United States,2007,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/sep
SR,Spire Inc.,72.85,3691243352,n/a,United States,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/sr
SRCI,SRC Energy Inc.,8.56,2075958574,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/srci
SMLP,"Summit Midstream Partners, LP",14.9,1093001048,n/a,United States,2012,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/smlp
SU,Suncor Energy  Inc.,38.8,63156888374,n/a,Canada,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/su
SNDE,Sundance Energy Australia Limited,5.75,394892560.3,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/snde
SUN,Sunoco LP,28.57,2825983065,n/a,United States,2012,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/sun
SPN,"Superior Energy Services, Inc.",10.03,1549892039,n/a,United States,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/spn
TGE,"Tallgrass Energy, LP",23.38,6550696192,n/a,United States,2015,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/tge
TRGP,"Targa Resources, Inc.",56.12,12658347510,n/a,United States,2010,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/trgp
TCP,"TC PipeLines, LP",30.64,2243043973,n/a,United States,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/tcp
TELL,Tellurian Inc.,9.08,2183944427,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/tell
TGC,"Tengasco, Inc.",1.11,11793187.23,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/tgc
TVC,Tennessee Valley Authority,25.03,0,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/tvc
TVE,Tennessee Valley Authority,24.8,0,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/tve
TERP,"TerraForm Power, Inc.",11.53,2410480663,n/a,United States,2014,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/terp
TTI,"Tetra Technologies, Inc.",4.72,593206919,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/tti
TPL,Texas Pacific Land Trust,854.99,6659026346,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/tpl
AES,The AES Corporation,13.7,9065063484,n/a,United States,n/a,Basic Industries,Electric Utilities: Central,https://www.nasdaq.com/symbol/aes
TRCH,"Torchlight Energy Resources, Inc.",1.025,71813935.4,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/trch
TAC,TransAlta Corporation,5.6,1608970535,n/a,Canada,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/tac
TRP,TransCanada Corporation,41.12,37308276168,n/a,Canada,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/trp
TGA,TransGlobe Energy Corporation,3.44,248386469.4,n/a,Canada,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/tga
TLP,TransMontaigne Partners L.P.,38.74,628446129.7,n/a,United States,2005,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/tlp
TREC,Trecora Resources,14.1,345261821.4,n/a,United States,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/trec
USEG,U.S. Energy Corp.,0.9956,13051355.25,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/useg
UGI,UGI Corporation,54.34,9447660211,n/a,United States,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/ugi
UPL,Ultra Petroleum Corp.,1.26,248289195.4,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/upl
UNT,Unit Corporation,25.31,1368937060,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/unt
UTL,UNITIL Corporation,51.04,758804126.1,n/a,United States,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/utl
USAC,"USA Compression Partners, LP",16.51,1590764652,n/a,United States,2013,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/usac
EGY,"VAALCO Energy, Inc. ",2.59,153964331.9,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/egy
VLO,Valero Energy Corporation,116.76,49902993633,n/a,United States,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/vlo
VVC,Vectren Corporation,71.29,5922822747,n/a,United States,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/vvc
VET,Vermilion Energy Inc.,33.5,5105663377,n/a,Canada,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/vet
VTNR,"Vertex Energy, Inc",1.77,61994317.26,n/a,United States,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/vtnr
VNOM,Viper Energy Partners LP,42.46,5263735501,n/a,United States,2014,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/vnom
DYNC,Vistra Energy Corp.,94.1243,0,n/a,United States,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/dync
VOC,VOC Energy Trust,5.36,91120000,n/a,United States,2011,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/voc
WTI,"W&T Offshore, Inc.",8.88,1235685726,n/a,United States,2005,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/wti
HCC,"Warrior Met Coal, Inc.",27.44,1448554444,n/a,United States,2017,Energy,Coal Mining,https://www.nasdaq.com/symbol/hcc
WEC,"WEC Energy Group, Inc.",65.75,20746324206,n/a,United States,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/wec
WGP,"Western Gas Equity Partners, LP",30.2,6611921469,n/a,United States,2012,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/wgp
WES,"Western Gas Partners, LP",43.44,7227875172,n/a,United States,2008,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/wes
WMLP,"Westmoreland Resource Partners, LP",1.97,2531134.8,n/a,United States,2015,Energy,Coal Mining,https://www.nasdaq.com/symbol/wmlp
WLL,Whiting Petroleum Corporation,52.14,4743038411,n/a,United States,2003,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/wll
WRD,WildHorse Resource Development Corporation,23.18,2364487838,n/a,United States,2016,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/wrd
WMB,"Williams Companies, Inc. (The)",27.26,32967509915,n/a,United States,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/wmb
INT,World Fuel Services Corporation,28.76,1954072028,n/a,United States,n/a,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/int
WPX,"WPX Energy, Inc.",19.37,8135667868,n/a,United States,2011,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/wpx
XEL,Xcel Energy Inc.,46.61,23728550057,n/a,United States,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/xel
YUMA,"Yuma Energy, Inc.",0.3116,7242756.551,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/yuma
ZN,Zion Oil & Gas Inc,0.9079,53868952.74,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/zn
ZNWAA,Zion Oil & Gas Inc,n/a,0,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/znwaa